0,1,2,3,4,5,6
2020,MotoE,27,Mattia CASADEI,ITA,Ongetta SIC58 Squadracorse,Energica
2020,MotoE,63,Mike DI MEGLIO,FRA,"EG 0,0 Marc VDS",Energica
2020,MotoE,55,Alejandro MEDINA,SPA,Openbank Aspar Team,Energica
2020,MotoE,35,Lukas TULOVIC,GER,Tech 3 E-Racing,Energica
2020,MotoE,16,Josh HOOK,AUS,OCTO Pramac MotoE,Energica
2020,MotoE,18,Xavi CARDELUS,AND,Avintia Esponsorama Racing,Energica
2020,MotoE,70,Tommaso MARCON,ITA,Tech 3 E-Racing,Energica
2020,MotoE,6,Maria HERRERA,SPA,Openbank Aspar Team,Energica
2020,MotoE,84,Jakub KORNFEIL,CZE,WithU Motorsport,Energica
2020,MotoE,61,Alessandro ZACCONE,ITA,,
2020,MotoGP,5,Johann ZARCO,FRA,Hublot Reale Avintia,Ducati
2020,MotoGP,53,Tito RABAT,SPA,Hublot Reale Avintia,Ducati
2020,Moto2,44,Aron CANET,SPA,Openbank Aspar Team Moto2,Speed Up
2020,Moto2,55,Hafizh SYAHRIN,MAL,Openbank Aspar Team Moto2,Speed Up
2020,Moto3,82,Stefano NEPA,ITA,Solunion  Aspar Team Moto3,KTM
2020,Moto3,75,Albert ARENAS,SPA,Solunion  Aspar Team Moto3,KTM
2020,Moto3,75,Albert ARENAS,SPA,Solunion Aspar Team Moto3,KTM
2020,Moto3,82,Stefano NEPA,ITA,Solunion Aspar Team Moto3,KTM
2020,MotoE,61,Alessandro ZACCONE,ITA,TRENTINO Gresini MotoE,Energica
2020,MotoGP,5,Johann ZARCO,FRA,Esponsorama Racing,Ducati
2020,MotoGP,53,Tito RABAT,SPA,Esponsorama Racing,Ducati
2020,MotoGP,6,Stefan BRADL,GER,Repsol Honda Team,Honda
2020,Moto2,21,Fabio DI GIANNANTONIO,ITA,MB Conveyors Speed Up,Speed Up
2020,Moto2,55,Hafizh SYAHRIN,MAL,Openbank Aspar Team,Speed Up
2020,Moto2,9,Jorge NAVARRO,SPA,MB Conveyors Speed Up,Speed Up
2020,Moto2,44,Aron CANET,SPA,Openbank Aspar Team,Speed Up
2020,Moto2,77,Dominique AEGERTER,SWI,NTS RW Racing GP,NTS
2020,Moto3,75,Albert ARENAS,SPA,Gaviota Aspar Team,KTM
2020,Moto3,82,Stefano NEPA,ITA,Gaviota Aspar Team,KTM
2020,MotoGP,51,Michele PIRRO,ITA,Pramac Racing,Ducati
2020,Moto2,44,Aron CANET,SPA,Inde  Aspar Team,Speed Up
2020,Moto2,11,Nicolò BULEGA,ITA,Federal Oil Gresini Moto2,Kalex
