,0
0,nation
1,bike_number
2,lap_number
3,lap_time
4,section_one_time
5,section_two_time
6,section_three_time
7,section_four_time
8,average speed
108,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Remy', 'GARDNER', ' Onexox TKKR SAG T', 'AUS', '87', '20', ""1'59.480"", '25.906', '30.976', '28.983', '33.615', '292.6']"
109,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '1', ""2'04.509"", '30.265', '31.275', '29.358', '33.611', '175.8']"
110,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '2', ""2'00.698"", '26.723', '31.433', '29.057', '33.485', '284.9']"
111,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '3', ""2'00.064"", '26.380', '30.892', '29.193', '33.599', '287.2']"
112,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '4', ""2'00.179"", '26.523', '31.058', '29.225', '33.373', '290.3']"
113,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '5', ""1'59.469"", '26.002', '30.782', '29.118', '33.567', '289.5']"
114,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '6', ""2'00.123"", '26.257', '31.246', '29.227', '33.393', '284.9']"
115,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '7', ""1'59.449"", '26.075', '30.804', '29.081', '33.489', '286.4']"
116,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '8', ""1'59.573"", '26.136', '30.862', '29.102', '33.473', '285.7']"
117,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '9', ""1'59.453"", '26.120', '30.772', '29.131', '33.430', '284.9']"
118,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '10', ""1'59.760"", '26.128', '30.933', '29.256', '33.443', '286.4']"
119,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '11', ""2'00.452"", '26.127', '31.195', '29.425', '33.705', '288.7']"
120,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '12', ""1'59.423"", '26.160', '30.806', '29.066', '33.391', '289.5']"
121,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '13', ""1'59.507"", '26.099', '30.751', '29.133', '33.524', '284.9']"
122,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '14', ""1'59.400"", '26.000', '30.827', '29.143', '33.430*', '287.2']"
123,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '15', ""1'59.635"", '25.987', '30.874', '29.211', '33.563', '287.2']"
124,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '16', ""2'00.810"", '26.305', '31.600', '29.394', '33.511', '291.8']"
125,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '17', ""2'00.020"", '26.207', '30.934', '29.280', '33.599', '285.7']"
126,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '18', ""2'00.036"", '26.181', '31.050', '29.297', '33.508', '285.7']"
127,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '19', ""1'59.996"", '26.211', '31.037', '29.155', '33.593', '288.0']"
128,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Jorge', 'NAVARRO', ' Beta Tools Speed Up', 'SPA', '9', '20', ""2'00.017"", '26.192', '30.968', '29.323', '33.534', '290.3']"
129,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Marcel', 'SCHROTTE', ' Liqui Moly Intact GP', 'GER', '23', '1', ""2'06.761"", '31.052', '32.113', '29.509', '34.087', '187.1']"
130,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Marcel', 'SCHROTTE', ' Liqui Moly Intact GP', 'GER', '23', '2', ""2'00.535"", '26.175', '31.363', '29.264', '33.733', '292.6']"
131,"['March 08, 2020', '2020', 'QNB', 'Moto2™', 'Race', 'Marcel', 'SCHROTTE', ' Liqui Moly Intact GP', 'GER', '23', '3', ""1'59.894"", '26.129', '30.990', '29.202', '33.573', '288.7']"
